TOK,SHOT,TIME,PHASE,PGASA,RGEO,AMIN,KAPPA,SPLASMA,CONFIG,IGRADB,WALMAT,DIVMAT,LIMMAT,EVAP,BT,IP,Q95,NEL,ZEFF,DIVNAME,PL,PLTH,PFLOSS,PRADCORE,DIVCON,FRACNMIN,LHTIME,AUXHEAT,SELEC2024
AUG,23367,2.827,LH,2.0000,1.628,0.5282,1.71,44.86,SN(L),1,W,W,W,BOR,-2.282,1002000,3.902,2.12E+19,0,DIV-IIc,1940000,2020000,0,624700,STANDARD,0.531,2.834,EC,0
AUG,23368,2.425,LHLHST,2.0000,1.627,0.524,1.722,44.71,SN(L),1,W,W,W,BOR,-2.285,998600,3.922,3.12E+19,0,DIV-IIc,1447000,1443000,1939,357400,STANDARD,0.78,2.815,NBEC,0
AUG,23368,2.815,LH,2.0000,1.633,0.5242,1.721,44.87,SN(L),1,W,W,W,BOR,-2.285,1000000,3.892,3.15E+19,0,DIV-IIc,1559000,1600000,0,381600,STANDARD,0.7865,2.815,EC,0
AUG,23758,1.505,LH,2.0000,1.634,0.5162,1.726,44.41,SN(L),1,W,W,W,BOR,-2.283,1000000,3.777,4.12E+19,0,DIV-IIc,1379000,1500000,32070,0,STANDARD,1.03025,1.506,NBEC,1
AUG,23760,1.558,LH,2.0000,1.631,0.5181,1.722,44.4,SN(L),1,W,W,W,BOR,-2.284,998700,3.809,4.04E+19,0,DIV-IIc,1177000,1300000,0,0,STANDARD,1.00875,1.568,EC,1
AUG,23761,2.09,LH,2.0000,1.628,0.521,1.733,44.72,SN(L),1,W,W,W,BOR,-2.283,999800,3.926,5.71E+19,0,DIV-IIc,1369000,1600000,32820,0,STANDARD,1.42675,2.104,NBEC,1
AUG,23762,2.098,LH,2.0000,1.628,0.5205,1.734,44.72,SN(L),1,W,W,W,BOR,-2.283,998300,3.926,5.66E+19,0,DIV-IIc,1425000,1560000,0,0,STANDARD,1.414,2.108,EC,1
AUG,23763,2.735,LH,2.0000,1.628,0.5225,1.732,44.84,SN(L),1,W,W,W,BOR,-2.282,998900,3.952,6.79E+19,0,DIV-IIc,2064000,2250000,0,0,STANDARD,1.697,2.745,EC,1
AUG,23764,2.105,LH,2.0000,1.628,0.5215,1.731,44.73,SN(L),1,W,W,W,BOR,-2.283,998900,3.921,4.90E+19,0,DIV-IIc,1350000,1420000,28040,0,STANDARD,1.22375,2.117,NBEC,1
AUG,23795,1.81,LH,2.0000,1.617,0.5241,1.723,44.45,SN(L),1,W,W,W,BOR,-2.486,999700,4.323,4.85E+19,0,DIV-IIc,1234000,1250000,69390,0,STANDARD,1.21275,1.82,NBEC,1
